place,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
country/JPN,27.1884,30.8619,2.98449,3.37389,27.4048,34.3059,34.286,36.7914,43.9023,48.879,67.7867,85.7951,107.642,123.354,139.46,93.4792,83.8545,57.6862,65.2493,71.8612,63.9305,61.3344,46.4195,59.525,96.1036,63.5466,51.764,49.4711,65.3404,72.7077,94.6483,100.27,94.5668,61.0143,62.5028,66.4651,53.3501,55.4629,87.162,89.4017,110.124,99.0331,126.202,105.141,120.841,133.295
country/KOR,,,,,8.05313,5.85449,5.79196,5.62504,4.99861,6.38126,7.28638,11.9176,22.3275,47.2709,56.8952,38.9251,29.1748,30.2823,35.5477,41.3656,32.1144,22.8005,7.35077,29.8941,61.5316,29.7238,42.7129,39.9694,46.8833,54.0014,76.8007,79.2243,95.7354,44.9518,88.4161,95.4412,79.4862,92.2555,90.0608,81.7048,83.9966,83.6299,109.106,81.9619,89.9128,132.865
